MS_grad,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6
-11.82677542,0.22982399,0.18396336,0.4169237,0.11015461,0.36444288,0.53794956
-1.973571169,0.26474988,0.21178767,0.75285065,0.13965189,0.65341395,0.66136461
-7.043833321,0.23237441,0.19447716,0.60194933,0.14444171,0.54519099,0.5492034
-2.191998399,0.33166671,0.29194644,0.825001,0.27040911,0.60780537,0.61141723
-10.79098631,0.20937087,0.18901967,0.58917677,0.12865251,0.34455574,0.40366685
-0.597065508,0.26945582,0.25961348,0.77332753,0.24767809,0.72311771,0.72815394
-11.14215609,0.26348019,0.22447889,0.61065871,0.18343258,0.29536593,0.42570263
-1.638753329,0.2924917,0.25481459,0.72806597,0.2226097,0.46998796,0.45711926
-10.43601432,0.25865105,0.16465686,0.51117361,0.37986964,0.33245713,0.52352172
-3.092246625,0.29447687,0.28808245,0.73238915,0.25436625,0.60066146,0.58108079
-5.011554167,0.27241597,0.24234684,0.72778845,0.21803048,0.51321405,0.50020456
-2.335001668,0.30582398,0.2741181,0.81753415,0.29683971,0.4802517,0.4371275
-10.43413842,0.27522245,0.22275403,0.64603537,0.2508291,0.34785989,0.35353199
-4.408129018,0.31005982,0.25751334,0.68129879,0.24743153,0.45613098,0.46242157
-1.850853041,0.29089212,0.26119521,0.7412588,0.244376,0.61880016,0.64605951
-3.338895533,0.25559476,0.24872203,0.69389331,0.25196746,0.57669348,0.57412404
-9.308070561,0.29104722,0.26059878,0.65948898,0.18049175,0.3784976,0.41148955
-8.744286329,0.24804179,0.20027658,0.62115592,0.17161413,0.37323597,0.46202567
-9.816097098,0.24672396,0.19528671,0.57802254,0.24034812,0.36292419,0.47114685
-1.763505639,0.29063448,0.24701388,0.73764461,0.24106428,0.46686637,0.47655201
-7.791764316,0.27445632,0.26280275,0.67901236,0.2422504,0.5404548,0.54019815
-8.3988883,0.24649109,0.22356561,0.71209008,0.21067385,0.56580216,0.59286231
-7.369662553,0.27380496,0.24150261,0.69456249,0.22544032,0.51374662,0.50788504
-10.56099496,0.24503908,0.20523186,0.56261235,0.21829475,0.30378461,0.31444824
-5.049667465,0.29628026,0.26176044,0.71134555,0.24135555,0.50595868,0.47288284
